// !重要! - 致译者:
// 不要翻译任何包含于 <>(尖括号)的标签。
// 切忌误删任何半角引号——这会导致整个文件无法被解析。
// 译者注：最好保留原有的作者，只在 710001 号文本中用换行符"\n"分隔的方式添加新的合作者。
// 凡平民、无身份地位的，使用量词“位”，凡军事单位，使用“名”，避免对单位使用“个”等量词，如：
// 1 位牧羊人、1 位村民、1 名斥候骑兵、1 名步弓手

// 可以使用搜索、替换工具来加快翻译进程，但要避免使用以下字符串的全部或部分：
// Houses
// Shepherds
// Hunters
// Hunters/Shepherds
// Foragers
// Farmers
// Lumberjacks
// Gold Miners
// Stone Miners
// Walling Factor
// Town Centers
// Ranges
// Civilian Population
// Villagers
// Scouts
// Archers
// Militia
// Knights
// Skirms
// Fishing Ships
// Fire Galleys
// Relics Captured
// Conqs
// HCs
// BBCs
// BLUE
// RED
// GREEN
// YELLOW
// ORANGE
// Idle Dark
// Idle Feudal
// Idle Castle

// 译者注：善用正则等文本工具大幅度加快翻译进程。
// 如表达式 ^\d+ "[^"]+$ 匹配未以引号结尾的行。
// GLHF :)

// ---

// Authorship

710000 "<ORANGE>作者：西塞罗 (Cicero)"
710001 "<BLUE>汉化：别云 (Syser)"

// Audio Text

710010 "建造 2 间房屋，并和接下来的共 6 位村民采集羊肉。"
710021 "派遣紧接的 3 位村民建造伐木场伐木。"
710022 "派遣紧接的 4 位村民建造伐木场伐木。"
710031 "派遣下位村民引诱野猪。\n译者注：如果野猪较远或其他情况导致预计引猪回来前牧羊人有(较长的)空闲时间，则马上换成调牧羊人引诱野猪。"
710032 "派遣下位村民引诱野猪，再下一位村民加入牧羊队伍。\n译者注：如果野猪较远或其他情况导致预计引猪回来前牧羊人有(较长的)空闲时间，则马上换成调牧羊人引诱野猪。"
710041 "紧接的 4 位村民采集浆果，其中的第一位先建造 2 间房屋。"
710042 "紧接的 5 位村民采集浆果，其中的第一位先建造 2 间房屋。"
710050 "驻扎一位在 TC(城镇中心) 脚下未受伤的村民放出去引诱第二头野猪。"
710060 "派遣紧接的 2 位村民一起采集猪肉。"
710071 "驻扎 1 位受伤最重的猎人放出去建造农田。"
710072 "驻扎 2 位受伤最重的猎人放出去建造农田。"
710081 "派遣紧接的村民们全都去伐木。"
710082 "派遣下位村民建造第二座伐木场。"
710091 "抽调村民在封建时代之前建好军营。"
710092 "派遣下位村民建造军营。"
710093 "现在再建造间房屋。"

711010 "抽调更多村民伐木，使得平均每座伐木场分配 5 位伐木工。"
711020 "抽调至少 2 位村民建造马厩，研究双刃斧(一级伐木)和马轭(一级耕种)。"
711030 "将 TC(城镇中心) 聚集点设置到周围的散木上，每攒 60 木材就建造一块农田。\n译者注：不用特地交木材，村民建好经济建筑(包括农田)时会自动提交当前携带的资源。"
711040 "开始训练斥候骑兵。"
711050 "待金矿工一够，研究独轮手推车。并且建造铁匠铺，研究箭羽。"

711101 "派遣紧接的村民采集金矿，此外调 2 位浆果采集者采金，直到有 10 位金矿工。"
711102 "攒够木材尽快建造 2 座靶场，分别开始训练步弓手。"
711103 "现在研究血统。"

711201 "派遣紧接的 2 位村民伐木。攒够木材就建造一座靶场，开始训练掷矛手。"
711202 "派遣紧接的村民采集金矿，此外调 2 位浆果采集者采金，直到有 4 位金矿工。"

711301 "派遣紧接的 5 位村民采集金矿，同时抽调 2 位浆果采集者建造农田。"
711302 "待金矿工一够，研究独轮手推车。调村民建造铁匠铺。"

712001 "抽调更多村民伐木，使得共有 11 位伐木工，再抽调 3 位村民采集金矿。"
712002 "立即建造 2 座靶场，研究双刃斧(一级伐木)。派遣紧接的村民都去采集金矿，直到共有 8 名金矿工。"
712004 "待金矿工一够，紧接着生产的村民全都建造农田。"
712005 "研究独轮手推车，且让浆果采集者开始耕田。"

713001 "派遣紧接的 2 位村民在 TC(城镇中心) 脚下采集食物。"
713002 "派遣紧接的最后 2 位村民采集金矿。"
713009 "研究独轮手推车。"

714010 "派遣紧接的村民采集 10 点黄金。\n译者注：不要建造采矿场。"
714020 "金矿工提交黄金后调去伐木。"

714101 "派遣紧接的村民们全都在 TC(城镇中心) 脚下采集食物。攒木材围绕 TC 建造 3 块农田。"
714102 "现在训练 3 名民兵，并再建造间房屋。"

714201 "派遣紧接的村民伐木，直到拥有 8 位伐木工。"
714204 "派遣紧接的村民们全都采集羊肉。继续让村民建造农田，直到大约有 8 块农田。"
714205 "Now move 4 villagers to gold."
714206 "建造靶场和铁匠铺。紧接的 2 位村民采金。此时即可升级到城堡时代。\n译者注：铁匠铺建造时间 40，靶场建造时间 50，2 村民生产时间各 25，共 50，因此先建造靶场，等靶场建好刚好可以升级时代。"

715011 "派遣紧接的村民伐木，直到拥有 9 位伐木工尽量平均分配在 2 座伐木场。"
715012 "派遣紧接的村民伐木，直到拥有 10 位伐木工平均分配在 2 座伐木场。"
715021 "派遣紧接的最后 3 位村民采集金矿。同时让牧羊人开始陆续建造农田。"
715023 "派遣紧接的最后 2 位村民采集石矿。"
715031 "羊肉采集完后让牧羊人开始建造农田，直到有 8 块农田。"

715101 "建造市场和铁匠铺，紧接的 2 位村民伐木。此时即可升级到城堡时代。\n译者注：铁匠铺建造时间 40，市场双人建造时间 60/(1+1/3)=45，2 村民生产时间各 25，共 50。两位村民生产完即可升级。"
715102 "调浆果采集者伐木，使得至少有 14 位伐木工。研究双刃斧(一级伐木)和马轭(一级耕种)."
715103 "立即起 2 座 TC(城镇中心)，每座用大约 4 位村民建造，并且研究弓锯(二级伐木)。将 TC(城镇中心) 聚集点设置在森林上，每攒 60 木材就建造一块农田。\n译者注：不要平地拍 TC，应该紧挨着森林(或者矿物)。对于高手：无所谓左右，决定版的耕种已经改为在每个坐标格的中心，已不存在右侧农夫比左侧高效的情况。"
715104 "研究独轮手推车。"
715105 "从所有 TC(城镇中心) 中持续生产村民，将聚集点设置在森林上，持续以木易田。\n译者注：单人建造住房时间和生产村民时间都是25；不必手动提交木材；保持斜角伐木，注意有无被卡住无法动弹的伐木工。"
715106 "可以选择购买 100 石料，积攒木材准备起第 4 座 TC(城镇中心)。\n译者注：如果第四座 TC 无法建造在第一个伐木场所在的森林附近，且该伐木场距离森林边缘超过 4 格坐标距离，则紧贴森林再造伐木场，其他伐木场类似，保持让伐木场紧贴森林边缘。"

715201 "建造马厩和铁匠铺，紧接的 2 位村民采金。此时即可升级到城堡时代。\n译者注：铁匠铺建造时间 40，马厩建造时间 50，2 村民生产时间各 25，共 50，因此先建造马厩，等马厩建好刚好可以升级时代。"
715202 "研究双刃斧(一级伐木)和马轭(一级耕种)，再调 2 位浆果采集者耕田。"
715203 "在迈入城堡时代前建好第二座马厩。"
715204 "研究弓锯(二级伐木)，并开始从两座马厩中持续训练骑士。"

715301 "建造市场和铁匠铺，紧接的 2 位村民采石。此时即可升级到城堡时代。"
715302 "Now research both double-bit axe and horse collar."
715303 "研究弓锯(二级伐木)，调所有石矿工建造城堡。"

716001 "现在在 22p 时点击封建时代。"
716002 "现在研究织布机，在 22p 时点击封建时代。"
716003 "现在在 23p 时点击封建时代。"
716004 "现在研究织布机，在 23p 时点击封建时代。"
716005 "现在在 27p 时点击封建时代。"
716006 "现在研究织布机，在 27p 时点击封建时代。"
716007 "现在在 28p 时点击封建时代。"
716008 "现在研究织布机，在 28p 时点击封建时代。"
716009 "现在在 32p 时点击封建时代。"
716010 "现在研究织布机，在 32p 时点击封建时代。"

717001 "现在在 21p 时点击封建时代。"
717002 "现在研究织布机，在 21p 时点击封建时代。"
717003 "现在从两座靶场中持续训练步弓手。建造铁匠铺，研究箭羽，羊肉采集完后让牧羊人开始建造农田。"
717004 "金矿工提交金矿后在 TC(城镇中心) 脚下采集食物。"
717005 "Now send the rest to gather food under the town center. Move 2 villagers to make farms around the TC once you have the wood."
717006 "抽调更多村民伐木，直到共有 11 位伐木工尽量平均分配在 2 座伐木场，并抽调 4 位村民建造采矿场采集金矿。剩余的两位村民伐 TC(城镇中心) 周围的散木。"
717007 "现在从两座靶场中持续训练步弓手。建造铁匠铺，研究箭羽，并且让更多村民每攒 60 木材就在 TC(城镇中心) 周围建造农田。"
717008 "Now move 4 villagers to gold. Once the sheep run out, the remaining 2 villagers should chop stragglers."

717100 "现在在 24p 时点击封建时代。"
717101 "现在在 25p 时点击封建时代。"
717102 "现在在 26p 时点击封建时代。"
